sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
18917114,PUERTO RICO,-1,,1.0,APPROVED,4072763,Puerto Rico,SNOMED,Observation,S,0,1,Location,223707000,19700101,20991231,
18916442,GUADELOUPE,-1,,0.7753443717956543,APPROVED,4071715,Guadeloupe island,SNOMED,Observation,S,0,1,Location,223379000,19700101,20991231,
446993936,SOUTH SUDAN,-1,,0.7227088212966919,UNCHECKED,4075198,Sudan,SNOMED,Observation,S,0,1,Location,223518003,19700101,20991231,
14579252,UNKNOWN,-1,,0.3893657326698303,UNCHECKED,4127364,Town environment,SNOMED,Observation,S,0,1,Location,288521009,19700101,20991231,
14682738,ROMANIA,-1,,1.0,APPROVED,4330431,Romania,SNOMED,Observation,S,0,1,Location,223655008,19700101,20991231,
14579259,INDIA,-1,,1.0,APPROVED,4320154,India,SNOMED,Observation,S,0,1,Location,223600005,19700101,20991231,
18917118,REUNION,-1,,1.0,APPROVED,4075063,Reunion,SNOMED,Observation,S,0,2,Location,223397008,19700101,20991231,
140865207,"UNITED KINGDOM, NFD",-1,,0.44508448243141174,APPROVED,4072900,United Kingdom of Great Britain and Northern Ireland,SNOMED,Observation,S,0,1,Location,223860005,19700101,20991231,
18917121,RWANDA,-1,,1.0,APPROVED,4075201,Rwanda,SNOMED,Observation,S,0,1,Location,223527002,19700101,20991231,
14690533,EGYPT,-1,,1.0,APPROVED,4073737,Egypt,SNOMED,Observation,S,0,1,Location,223511009,19700101,20991231,
14580905,DENMARK,-1,,1.0,APPROVED,4330435,Denmark,SNOMED,Observation,S,0,1,Location,223663009,19700101,20991231,
140880667,PITCAIRN ISLANDS,-1,,0.5376745462417603,UNCHECKED,4073887,Ionian island,SNOMED,Observation,S,5,1,Location,223824000,19700101,20991231,
18917124,SAN MARINO,-1,,1.0,APPROVED,4320171,San Marino,SNOMED,Observation,S,0,1,Location,223677007,19700101,20991231,
14691221,SINGAPORE,-1,,1.0,APPROVED,4320306,Singapore,SNOMED,Observation,S,0,1,Location,223593008,19700101,20991231,
140881064,GUERNSEY,-1,,1.0,APPROVED,4073034,Guernsey,SNOMED,Observation,S,0,1,Location,223380002,19700101,20991231,
14581177,EL SALVADOR,-1,,1.0,APPROVED,4075637,El Salvador,SNOMED,Observation,S,0,1,Location,223692008,19700101,20991231,
18917128,SAO TOME AND PRINCIPE,-1,,1.0,APPROVED,4071847,Sao Tome and Principe,SNOMED,Observation,S,0,1,Location,223566005,19700101,20991231,
18909364,BAHAMAS,-1,,1.0,APPROVED,4072759,Bahamas,SNOMED,Observation,S,0,1,Location,223699004,19700101,20991231,
140881320,JERSEY,-1,,1.0,APPROVED,4075059,Jersey,SNOMED,Observation,S,0,1,Location,223385007,19700101,20991231,
14692661,USSR (COMBINED STATES),-1,,0.25109735131263733,UNCHECKED,4073753,Colombia,SNOMED,Observation,S,0,1,Location,223717005,19700101,20991231,
140881629,ALAND ISLANDS,-1,,0.7722586989402771,APPROVED,4320323,Finland,SNOMED,Observation,S,0,1,Location,223665002,19700101,20991231,
18917132,SAUDI ARABIA,-1,,1.0,APPROVED,4330417,Saudi Arabia,SNOMED,Observation,S,0,1,Location,223616007,19700101,20991231,
14695509,BELGIUM,-1,,1.0,APPROVED,4330433,Belgium,SNOMED,Observation,S,0,1,Location,223660007,19700101,20991231,
18909366,CAPE VERDE,-1,,0.667754590511322,APPROVED,4075210,Cape Verde islands,SNOMED,Observation,S,0,1,Location,223555003,19700101,20991231,
140881884,MONTENEGRO,-1,,1.0,APPROVED,40483631,Montenegro,SNOMED,Observation,S,0,1,Location,442522008,20090731,20991231,
18917136,SENEGAL,-1,,1.0,APPROVED,4071848,Senegal,SNOMED,Observation,S,0,1,Location,223567001,19700101,20991231,
18909368,CAYMAN ISLANDS,-1,,0.6710766553878784,APPROVED,4206402,British Overseas Territories,SNOMED,Observation,S,8,1,Location,439767004,20090131,20991231,
14699029,THAILAND,-1,,1.0,APPROVED,4320152,Thailand,SNOMED,Observation,S,0,1,Location,223594002,19700101,20991231,
140883149,SERBIA,-1,,0.5356549024581909,APPROVED,40480046,Republic of Serbia,SNOMED,Observation,S,0,1,Location,441670006,20090731,20991231,
18917137,SIERRA LEONE,-1,,1.0,APPROVED,4320148,Sierra Leone,SNOMED,Observation,S,0,1,Location,223568006,19700101,20991231,
14699259,CHILE,-1,,1.0,APPROVED,4073752,Chile,SNOMED,Observation,S,0,1,Location,223716001,19700101,20991231,
18909386,CONGO,-1,,1.0,APPROVED,4072108,Congo,SNOMED,Observation,S,0,1,Location,223524009,19700101,20991231,
140883347,KOSOVO,-1,,0.09246081858873367,UNCHECKED,4072011,Hong Kong,SNOMED,Observation,S,0,1,Location,223382005,19700101,20991231,
18909390,CUBA,-1,,1.0,APPROVED,4075639,Cuba,SNOMED,Observation,S,0,1,Location,223701004,19700101,20991231,
18917141,SLOVAKIA,-1,,1.0,APPROVED,4329598,Slovakia,SNOMED,Observation,S,0,1,Location,223641000,19700101,20991231,
14710924,MAURITIUS,-1,,1.0,APPROVED,4072751,Mauritius,SNOMED,Observation,S,0,1,Location,223541006,19700101,20991231,
18916379,FAROE ISLANDS,-1,,0.6573631167411804,APPROVED,4330435,Denmark,SNOMED,Observation,S,0,1,Location,223663009,19700101,20991231,
